"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1373","Website can be added on the profile settings page","chromium","Thu May 29 00:02:47 EEST 2025","passed","Thu May 29 00:02:49 EEST 2025","Profile Settings tests","profileSettingsPage.spec.ts","",""
"","2245","Profile visibility can be changed to limited on the profile settings page","chromium","Thu May 29 00:03:06 EEST 2025","passed","Thu May 29 00:03:09 EEST 2025","Profile Settings tests that require the second user","profileSettingsPage.spec.ts","",""
"","405","User cannot be registered if the password is less than 8 characters.","chromium","Thu May 29 00:02:31 EEST 2025","passed","Thu May 29 00:02:31 EEST 2025","Negative Sign Up tests","registerPage.spec.ts","",""
"","436","User with the same username cannot be registered twice.","chromium","Thu May 29 00:02:28 EEST 2025","passed","Thu May 29 00:02:28 EEST 2025","Negative Sign Up tests","registerPage.spec.ts","",""
"","1410","Location can be added on the profile settings page","chromium","Thu May 29 00:02:49 EEST 2025","passed","Thu May 29 00:02:50 EEST 2025","Profile Settings tests","profileSettingsPage.spec.ts","",""
"","1004","Biography can be added on the profile settings page","chromium","Thu May 29 00:02:46 EEST 2025","passed","Thu May 29 00:02:47 EEST 2025","Profile Settings tests","profileSettingsPage.spec.ts","",""
"","377","Already have an account link redirects to the Sign in page","chromium","Thu May 29 00:02:16 EEST 2025","passed","Thu May 29 00:02:16 EEST 2025","Positive Sign Up tests","registerPage.spec.ts","",""
"","1190","Delete avatar on the profile settings page","chromium","Thu May 29 00:03:11 EEST 2025","passed","Thu May 29 00:03:12 EEST 2025","Profile Settings tests that require the second user","profileSettingsPage.spec.ts","",""
"","2320","Email address can be hidden on the profile settings page","chromium","Thu May 29 00:02:50 EEST 2025","passed","Thu May 29 00:02:53 EEST 2025","Profile Settings tests","profileSettingsPage.spec.ts","",""
"","1092","Full name can be added on the profile settings page","chromium","Thu May 29 00:02:44 EEST 2025","passed","Thu May 29 00:02:45 EEST 2025","Profile Settings tests","profileSettingsPage.spec.ts","",""
"","1238","Update avatar on the profile settings page","chromium","Thu May 29 00:02:53 EEST 2025","passed","Thu May 29 00:02:54 EEST 2025","Profile Settings tests","profileSettingsPage.spec.ts","",""
"","410","OpenId button redirects to the OpenId login page","chromium","Thu May 29 00:02:16 EEST 2025","passed","Thu May 29 00:02:16 EEST 2025","Positive Sign Up tests","registerPage.spec.ts","",""
"","415","User with the same email cannot be registered twice.","chromium","Thu May 29 00:02:30 EEST 2025","passed","Thu May 29 00:02:30 EEST 2025","Negative Sign Up tests","registerPage.spec.ts","",""
"","412","User cannot be registered if passwords do not match.","chromium","Thu May 29 00:02:30 EEST 2025","passed","Thu May 29 00:02:31 EEST 2025","Negative Sign Up tests","registerPage.spec.ts","",""
"","576","Successful registration","chromium","Thu May 29 00:02:16 EEST 2025","passed","Thu May 29 00:02:17 EEST 2025","Positive Sign Up tests","registerPage.spec.ts","",""
"","884","Verify the register form UI","chromium","Thu May 29 00:02:14 EEST 2025","passed","Thu May 29 00:02:15 EEST 2025","Positive Sign Up tests","registerPage.spec.ts","",""
